gold_label,sequence,attention_mask,token_type
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the security mode command message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the em ##m information message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the security mode command message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach accept message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the security mode command message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach request message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the identity request message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the em ##m information message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the identity request message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach accept message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the identity request message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach request message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the em ##m information message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach accept message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the em ##m information message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach request message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the attach procedure shall be considered as failed for sms services . the behaviour of the u ##e in those cases is specified in clause 5 . 5 . 1 . 2 . 6 ##a . [SEP] the tracking area up ##dating procedure shall be considered as failed for sms services . the behaviour of the u ##e in those cases is specified in clause 5 . 5 . 3 . 2 . 6 ##a . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the combined attach procedure shall be considered as failed for non - eps services . the behaviour of the u ##e in those cases is specified in clause 5 . 5 . 1 . 3 . 6 . [SEP] the combined tracking area up ##dating procedure shall be considered as failed for non - eps services . the behaviour of the u ##e in those cases is specified in clause 5 . 5 . 3 . 3 . 6 . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach accept message . [SEP] if a failure of the hand ##over procedure is reported by the lower layer and the s ##1 signalling connection exists , the mm ##e shall re ##tra ##ns ##mit the det ##ach request message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the tracking area up ##dating procedure shall be considered as failed for sms services . the behaviour of the u ##e in those cases is specified in clause 5 . 5 . 3 . 2 . 6 ##a . [SEP] the combined tracking area up ##dating procedure shall be considered as failed for non - eps services . the behaviour of the u ##e in those cases is specified in clause 5 . 5 . 3 . 3 . 6 . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] the following abnormal case can be identified a ) lower layer indication of non - delivered nas pd ##u if the down ##link nas transport message is not delivered for any reason , the mm ##e may disc ##ard the message . [SEP] the following abnormal case can be identified a ) lower layer indication of non - delivered nas pd ##u if the down ##link generic nas transport message is not delivered for any reason , the mm ##e may disc ##ard the message . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if included , the em ##m entity in the mm ##e shall also provide the contents of the additional information ie . [SEP] if included , the em ##m entity in the u ##e shall also provide the contents of the additional information ie . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the eps bearer context is active in the u ##e figure 6 . 1 . 3 . 2 . 2 . 1 : the es ##m sub ##layer states for eps bearer context handling in the u ##e ( overview ) . [SEP] the network has initiated an eps bearer context modification towards the u ##e figure 6 . 1 . 3 . 3 . 5 . 1 : the es ##m sub ##layer states for eps bearer context handling in the network ( overview ) . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,[CLS] the u ##e has initiated a procedure transaction towards the network figure 6 . 1 . 3 . 2 . 4 . 1 : the procedure transaction states in the u ##e ( overview ) . [SEP] the network has initiated a procedure transaction towards the u ##e figure 6 . 1 . 3 . 3 . 7 . 1 : the procedure transaction states in the network ( overview ) . [SEP],1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] transaction related procedures use the procedure transaction identity as address parameter in the es ##m message header . when the u ##e or the network initiate ##s a transaction related procedure , it shall include a valid procedure transaction identity value in the message header and set the eps bearer identity to "" no eps bearer identity assigned "" . [SEP] in this case the mm ##e shall set the procedure transaction identity value in the modify eps bearer context request message to "" no procedure transaction identity assigned "" . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if the pd ##n connectivity request message included a low priority indicator set to "" ms is configured for nas signalling low priority "" , the mm ##e shall store the nas signalling low priority indication within the default eps bearer context . [SEP] this ie shall be included if the u ##e is configured for nas signalling low priority . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,"[CLS] if the pd ##n connectivity request message included a low priority indicator set to "" ms is configured for nas signalling low priority "" , the mm ##e shall store the nas signalling low priority indication within the default eps bearer context . [SEP] the u ##e shall include this ie if the u ##e is configured for nas signalling low priority . [SEP]",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
